id,interior_design_concept,location_zip_code,startup_budget,business_profit_rate,average_review_ratings
1247,minimalist,95138,56542.96,16.35,4.28
1248,modern,95103,32453.73,34.64,3.0
1249,romantic,95104,71297.26,95.11,0.67
1250,art gallery,95126,41507.33,40.02,3.57
1251,modern,95140,59646.39,29.34,1.87
1252,industrial,95135,66729.77,56.18,1.62
1253,art gallery,95140,70825.66,17.1,2.01
1254,minimalist,95134,78937.31,30.74,4.43
1255,romantic,95117,56922.33,37.11,3.13
1256,industrial,95135,44356.11,55.07,2.63
1257,minimalist,95108,54836.88,87.57,4.44
1258,modern,95129,46630.42,13.57,2.23
1259,romantic,95119,66089.72,67.14,2.23
1260,minimalist,95120,59305.08,48.5,1.02
1261,romantic,95123,32795.37,7.69,1.29
1262,modern,95129,64138.15,96.25,3.77
1263,vintage,95101,35165.8,56.78,2.63
1264,romantic,95112,66899.86,45.13,4.22
1265,vintage,95124,71234.46,86.62,0.3
1266,art gallery,95125,40663.33,81.21,2.96
1267,art gallery,95106,33732.77,4.8,2.21
1268,minimalist,95118,72610.86,22.96,1.91
1269,romantic,95132,36332.77,81.83,3.67
1270,art gallery,95122,67311.0,33.64,3.58
1271,minimalist,95138,53636.29,7.41,1.11
1272,modern,95119,77163.44,3.92,3.56
1273,modern,95132,34497.08,5.01,3.65
1274,art gallery,95138,63472.29,9.54,1.48
1275,minimalist,95125,55429.26,79.26,3.64
1276,vintage,95139,70054.59,46.69,1.37
1277,romantic,95148,49453.57,79.11,1.19
1278,minimalist,95110,79316.76,85.69,3.05
1279,industrial,95107,76283.55,88.45,1.2
1280,romantic,95107,38844.36,82.55,2.89
1281,modern,95128,37741.19,11.46,1.85
1282,vintage,95122,39681.46,89.03,4.18
1283,romantic,95120,41111.27,12.24,3.11
1284,minimalist,95132,50466.47,89.42,4.31
1285,vintage,95128,41464.64,46.09,0.44
1286,industrial,95126,61610.48,17.09,0.7
1287,modern,95110,45900.36,26.07,0.94
1288,vintage,95102,44460.89,11.02,3.4
1289,modern,95123,77838.17,80.27,1.31
1290,industrial,95110,74986.8,65.97,1.34
1291,industrial,95120,40804.37,29.72,2.9
1292,industrial,95111,46816.28,51.18,3.25
1293,romantic,95108,30110.6,22.17,3.47
1294,industrial,95128,78374.39,72.43,4.59
1295,modern,95135,47410.52,12.3,4.38
1296,minimalist,95117,37960.2,9.66,2.16
1297,romantic,95101,42469.31,69.51,3.32
1298,modern,95118,52247.87,37.08,2.78
1299,romantic,95126,76593.37,71.45,1.54
1300,minimalist,95122,42119.07,47.29,4.96
1301,art gallery,95118,51519.3,1.38,3.04
1302,art gallery,95127,48763.77,60.21,2.94
1303,modern,95111,46376.4,75.3,1.54
1304,modern,95113,47423.34,89.21,4.69
1305,industrial,95105,42720.42,69.73,2.39
1306,vintage,95103,51429.04,34.2,3.76
1307,art gallery,95109,51549.74,14.17,1.16
1308,industrial,95129,57891.37,8.18,0.66
1309,art gallery,95105,59237.3,89.99,4.51
1310,vintage,95129,69770.42,70.01,4.29
1311,industrial,95119,52981.46,48.16,1.5
1312,vintage,95148,57572.39,4.17,3.09
1313,art gallery,95123,78745.48,18.33,4.12
1314,modern,95104,66106.62,28.44,3.26
1315,industrial,95110,73140.86,43.37,3.75
1316,modern,95135,49712.25,98.96,1.72
1317,minimalist,95135,42358.88,74.19,1.68
1318,minimalist,95106,72067.15,92.22,4.17
1319,minimalist,95148,74366.34,37.43,3.7
1320,art gallery,95118,68853.77,63.97,2.93
1321,modern,95139,38458.34,11.1,3.74
1322,romantic,95123,64576.04,71.99,1.78
1323,vintage,95131,65622.06,31.35,0.34
1324,modern,95135,34848.84,24.49,4.21
1325,modern,95126,63296.98,29.68,1.85
1326,modern,95120,49684.78,25.64,4.43
1327,art gallery,95116,58257.2,86.77,4.21
1328,minimalist,95116,46207.1,79.11,3.96
1329,modern,95118,57016.44,18.63,0.57
1330,art gallery,95148,61188.27,2.43,4.04
1331,vintage,95107,39832.99,77.73,0.82
1332,modern,95106,76049.08,47.56,2.4
1333,art gallery,95113,36822.19,37.48,2.89
1334,art gallery,95122,71820.51,9.2,0.61
1335,vintage,95134,68187.49,82.33,1.6
1336,romantic,95109,64737.33,72.06,1.08
1337,minimalist,95133,45479.3,33.77,4.18
1338,industrial,95113,39557.24,50.58,3.81
1339,art gallery,95136,49880.97,19.13,4.53
1340,industrial,95107,34801.28,74.01,3.85
1341,minimalist,95123,62819.1,94.04,1.33
1342,romantic,95110,57896.77,86.36,3.6
1343,industrial,95116,42197.9,76.94,4.52
1344,minimalist,95133,38266.6,4.46,1.46
1345,minimalist,95109,63857.39,82.69,1.03
1346,industrial,95106,79352.1,69.75,1.09
1347,industrial,95131,42033.85,27.02,2.83
1348,modern,95113,53526.66,24.24,1.57
1349,vintage,95135,51148.85,89.74,2.07
1350,modern,95104,76057.08,16.89,0.69
1351,industrial,95140,39061.89,65.71,2.13
1352,modern,95127,68499.27,99.31,3.28
1353,romantic,95132,68307.43,77.48,0.68
1354,minimalist,95117,59385.2,44.92,3.42
1355,art gallery,95126,39981.79,7.88,3.39
1356,minimalist,95133,48057.45,78.51,3.41
1357,industrial,95122,47806.09,52.95,1.55
1358,art gallery,95140,43555.38,70.56,0.02
1359,modern,95127,55558.67,72.1,3.12
1360,romantic,95139,35658.94,3.42,3.27
1361,industrial,95138,71908.74,76.79,4.41
1362,industrial,95120,62516.81,1.76,2.74
1363,romantic,95126,69908.26,98.56,0.85
1364,minimalist,95110,73240.73,17.96,1.91
1365,minimalist,95127,54482.76,98.73,0.98
1366,modern,95104,46535.04,69.68,0.2
1367,industrial,95102,41616.98,28.59,2.64
1368,industrial,95102,42797.09,15.6,2.85
1369,modern,95127,42742.12,21.46,2.82
1370,minimalist,95133,66788.22,51.31,2.76
1371,minimalist,95121,35992.84,93.28,0.8
1372,art gallery,95126,61398.35,45.42,3.77
1373,vintage,95113,57647.56,10.32,3.74
1374,vintage,95113,49820.3,81.22,3.66
1375,romantic,95116,58637.55,78.15,0.46
1376,industrial,95125,34954.24,77.91,4.47
1377,minimalist,95128,62045.28,44.89,2.86
1378,industrial,95107,73370.8,1.75,0.49
1379,industrial,95138,39592.0,68.19,0.75
1380,vintage,95131,68320.11,25.34,2.91
1381,vintage,95118,79411.48,81.93,3.36
1382,vintage,95128,77940.21,79.69,3.19
1383,romantic,95131,42900.36,81.93,2.89
1384,industrial,95105,42857.05,51.45,0.74
1385,industrial,95121,75391.14,12.97,4.5
1386,industrial,95102,30827.3,24.59,2.81
1387,minimalist,95113,70213.31,6.65,3.0
1388,minimalist,95106,34342.27,75.43,3.02
1389,vintage,95125,74970.27,63.62,2.58
1390,minimalist,95113,36038.96,25.72,2.25
1391,vintage,95109,76553.74,53.14,0.11
1392,romantic,95109,72415.04,92.17,3.75
1393,romantic,95107,67022.96,53.39,4.08
1394,modern,95101,39574.7,28.74,2.41
1395,minimalist,95106,50069.67,11.9,3.34
1396,industrial,95119,55266.28,61.5,1.43
1397,industrial,95113,64937.8,84.51,4.51
1398,vintage,95136,50179.96,39.85,0.83
1399,art gallery,95120,32703.91,28.14,3.91
1400,minimalist,95131,40592.94,75.95,1.45
1401,minimalist,95103,32528.48,18.52,4.33
1402,minimalist,95128,38886.36,87.93,2.64
1403,modern,95104,68034.88,65.25,1.73
1404,industrial,95103,69814.38,86.6,0.42
1405,vintage,95135,61838.15,64.92,4.65
1406,minimalist,95111,31724.95,9.4,2.59
1407,industrial,95140,64215.52,70.28,3.96
1408,romantic,95129,34817.31,19.84,3.33
1409,romantic,95112,44682.07,28.03,1.62
1410,romantic,95135,76352.15,1.77,4.98
1411,modern,95125,53879.19,89.17,1.67
1412,romantic,95109,42522.14,64.12,3.78
1413,romantic,95103,70102.7,89.19,1.19
1414,art gallery,95122,60007.26,3.6,4.01
1415,romantic,95111,31719.91,69.23,2.98
1416,vintage,95106,62170.3,19.11,1.28
1417,industrial,95127,53203.92,75.53,1.51
1418,vintage,95102,46079.79,7.36,1.3
1419,vintage,95112,58179.83,59.28,1.08
1420,romantic,95116,33318.83,86.27,2.06
1421,modern,95126,68731.28,99.72,0.93
1422,industrial,95133,66344.18,24.54,0.27
1423,industrial,95105,70234.41,73.37,4.65
1424,vintage,95116,48236.08,89.88,2.78
1425,modern,95105,32977.57,91.49,1.39
1426,modern,95118,73034.53,96.75,3.76
1427,minimalist,95136,56852.28,74.68,2.12
1428,vintage,95112,67080.25,64.67,1.36
1429,art gallery,95122,39455.36,37.16,1.73
1430,art gallery,95122,47773.77,83.81,3.28
1431,vintage,95124,77868.92,35.96,2.87
1432,art gallery,95128,64328.73,69.48,4.5
1433,art gallery,95123,61476.51,99.51,3.01
1434,industrial,95104,38206.82,86.76,4.18
1435,modern,95148,42503.28,23.94,2.79
1436,vintage,95135,68201.86,71.28,1.27
1437,art gallery,95120,70627.33,60.54,4.7
1438,industrial,95106,51428.73,31.22,4.56
1439,modern,95104,76364.15,38.88,1.7
1440,modern,95105,31214.15,93.27,0.88
1441,art gallery,95122,70943.86,52.91,1.87
1442,romantic,95139,45515.54,18.26,1.09
1443,art gallery,95113,60334.47,66.56,1.06
1444,romantic,95103,77600.63,77.26,2.93
1445,minimalist,95134,60509.73,89.33,4.95
1446,modern,95127,64880.79,38.69,2.45
1447,romantic,95120,57346.15,97.55,3.34
1448,romantic,95121,40225.57,70.01,3.21
1449,romantic,95111,69991.15,84.91,4.49
1450,modern,95103,59926.52,79.88,2.15
1451,romantic,95120,69184.22,87.72,4.8
1452,minimalist,95133,77785.14,36.14,4.85
1453,art gallery,95120,65943.08,51.99,3.47
1454,modern,95118,32649.3,84.36,3.79
1455,vintage,95104,45397.52,63.5,2.36
1456,romantic,95107,74051.3,49.46,2.01
1457,romantic,95124,41105.4,34.12,3.7
1458,minimalist,95118,50349.99,95.89,2.7
1459,romantic,95139,38855.64,13.59,0.08
1460,industrial,95129,41054.42,78.41,3.66
1461,art gallery,95105,34715.75,54.06,3.35
1462,industrial,95109,69543.82,75.83,2.52
1463,minimalist,95138,47619.98,62.24,4.1
1464,modern,95139,53656.08,19.13,1.12
1465,romantic,95102,39153.13,44.95,0.27
1466,vintage,95110,59700.35,33.19,3.67
1467,industrial,95125,58033.31,47.12,3.66
1468,vintage,95117,47153.68,63.57,1.29
1469,industrial,95139,68243.75,36.24,0.19
1470,art gallery,95113,44022.73,30.41,2.39
1471,industrial,95103,75404.99,75.01,0.3
1472,minimalist,95124,46936.0,69.72,0.65
1473,industrial,95131,48091.73,81.89,3.08
1474,industrial,95108,38602.71,4.22,1.41
1475,romantic,95131,65049.62,82.77,3.22
1476,modern,95101,50806.43,47.32,4.1
1477,modern,95133,65430.0,13.77,0.63
1478,industrial,95122,43516.44,22.13,0.36
1479,romantic,95123,47415.18,2.97,0.34
1480,industrial,95148,70201.32,25.68,2.91
1481,vintage,95126,33038.33,84.95,3.07
1482,romantic,95148,45800.8,41.01,4.22
1483,modern,95119,65510.69,61.34,4.37
1484,romantic,95122,49915.5,37.35,1.42
1485,minimalist,95105,64075.95,96.81,3.01
1486,modern,95103,57602.05,18.33,0.0
1487,minimalist,95122,74145.54,90.98,3.89
1488,romantic,95126,53456.33,17.95,4.09
1489,modern,95105,32696.66,53.37,3.93
1490,art gallery,95122,40875.68,54.37,2.21
1491,industrial,95122,51318.48,37.22,1.83
1492,industrial,95122,77006.76,65.01,0.87
1493,art gallery,95113,36584.61,93.51,4.47
1494,minimalist,95108,73900.76,99.25,2.91
1495,vintage,95133,66073.04,53.31,3.83
1496,minimalist,95134,45264.38,42.95,1.24
1497,romantic,95124,33286.25,7.78,0.46
1498,romantic,95134,72257.59,28.13,1.64
1499,industrial,95134,53825.51,34.02,2.87
1500,vintage,95127,42401.92,44.92,1.49
1501,romantic,95124,49637.31,27.81,2.05
1502,modern,95118,48885.27,99.63,1.21
1503,art gallery,95121,54580.63,73.93,0.57
1504,art gallery,95121,39685.58,2.09,0.18
1505,minimalist,95126,67933.28,59.95,3.79
1506,vintage,95129,33249.33,12.21,0.61
1507,minimalist,95127,72478.6,22.35,3.58
1508,romantic,95136,38781.08,80.02,4.55
1509,industrial,95108,52994.39,50.18,0.7
1510,modern,95126,71535.64,62.19,1.07
1511,modern,95102,76668.83,49.55,2.98
1512,industrial,95105,39636.15,89.42,3.72
1513,industrial,95102,45661.2,56.63,1.55
1514,vintage,95113,57823.1,69.42,0.0
1515,romantic,95111,75078.76,37.83,0.29
1516,minimalist,95121,66743.62,11.09,2.44
1517,romantic,95125,59905.85,25.47,0.86
1518,romantic,95128,35269.65,63.26,2.66
1519,romantic,95128,34172.52,6.68,4.92
1520,industrial,95138,68810.63,34.17,0.78
1521,art gallery,95102,71469.35,76.75,4.71
1522,minimalist,95148,53097.85,57.63,3.79
1523,vintage,95107,78150.12,11.66,4.89
1524,vintage,95148,44391.34,51.52,1.81
1525,minimalist,95104,69672.48,42.58,2.35
1526,industrial,95129,46288.52,45.39,3.21
1527,vintage,95109,58282.74,68.82,1.05
1528,minimalist,95124,56042.48,73.48,4.06
1529,minimalist,95132,59679.57,10.55,1.67
1530,modern,95132,67982.75,0.42,0.05
1531,industrial,95138,34613.74,92.09,3.11
1532,minimalist,95103,79635.42,85.19,2.36
1533,modern,95116,73739.04,42.25,1.33
1534,minimalist,95127,55576.62,86.98,3.5
1535,industrial,95118,38615.97,53.78,3.36
1536,art gallery,95110,79898.65,6.91,2.87
1537,industrial,95104,66914.54,68.75,4.23
1538,minimalist,95129,40414.84,74.67,3.36
1539,vintage,95132,49966.59,1.75,4.58
1540,vintage,95120,60417.76,50.36,2.87
1541,vintage,95118,53298.16,83.53,2.01
1542,minimalist,95148,45600.38,35.68,2.74
1543,romantic,95125,52856.2,70.91,2.44
1544,industrial,95125,68161.09,64.71,0.74
1545,modern,95139,51792.61,71.18,3.69
1546,minimalist,95125,53918.66,96.83,4.73
1547,vintage,95135,60691.47,19.02,4.63
1548,art gallery,95116,68969.96,85.4,4.29
1549,industrial,95101,52302.66,40.8,2.63
1550,modern,95138,63211.1,39.82,1.75
1551,minimalist,95119,35428.78,51.93,2.96
1552,industrial,95112,45666.05,80.75,1.8
1553,modern,95125,42910.58,63.79,0.62
1554,industrial,95128,31304.06,12.8,4.65
1555,vintage,95123,60043.69,0.6,3.89
1556,romantic,95132,31112.48,50.7,2.46
1557,minimalist,95119,37017.17,73.81,0.89
1558,vintage,95125,67812.5,80.65,3.16
1559,industrial,95101,32816.59,4.58,3.76
1560,minimalist,95138,35987.39,22.23,1.23
1561,vintage,95134,72508.61,72.52,2.54
1562,minimalist,95121,39704.98,45.64,1.81
1563,modern,95119,77032.05,21.45,0.19
1564,romantic,95119,51183.69,97.26,2.84
1565,modern,95122,47500.24,87.0,1.92
1566,vintage,95128,65224.04,34.57,1.25
1567,art gallery,95136,61511.34,74.38,3.32
1568,vintage,95125,50997.04,23.83,3.88
1569,modern,95138,33188.98,29.43,4.39
1570,modern,95135,66493.8,70.57,0.32
1571,industrial,95116,75439.97,12.4,2.25
1572,minimalist,95131,35495.44,42.05,4.76
1573,art gallery,95139,45052.81,2.95,1.3
1574,modern,95128,46200.34,92.54,1.32
1575,art gallery,95109,52991.62,93.96,4.52
1576,vintage,95118,57212.03,39.41,2.64
1577,industrial,95112,63008.41,87.95,4.63
1578,minimalist,95133,48683.92,26.49,0.38
1579,modern,95134,37243.06,45.21,0.19
1580,art gallery,95109,39182.97,63.36,3.47
1581,romantic,95117,70622.94,95.48,3.6
1582,romantic,95107,64417.15,48.32,2.73
1583,modern,95112,62816.23,5.54,4.45
1584,minimalist,95103,71823.81,48.27,4.59
1585,industrial,95121,57248.16,9.09,0.12
1586,modern,95108,68432.48,95.46,2.86
1587,modern,95110,78050.95,12.1,1.67
1588,romantic,95135,55900.72,63.23,3.99
1589,vintage,95122,77765.28,87.81,1.2
1590,vintage,95121,48126.76,2.95,3.45
1591,minimalist,95131,35419.65,41.15,4.69
1592,art gallery,95111,49703.77,76.5,1.22
1593,vintage,95136,53750.33,7.07,2.51
1594,modern,95105,66144.94,53.39,0.71
1595,modern,95122,59998.38,44.56,0.64
1596,vintage,95140,33781.21,13.8,0.02
1597,industrial,95120,55603.75,28.77,1.77
1598,industrial,95103,66731.53,78.18,3.78
1599,vintage,95133,31997.98,8.4,3.33
1600,romantic,95124,78637.61,75.05,1.8
1601,art gallery,95127,52816.63,68.23,4.15
1602,industrial,95125,35693.72,90.89,3.8
1603,vintage,95109,45331.17,46.06,3.3
1604,art gallery,95101,74281.83,14.67,1.83
1605,art gallery,95132,73636.14,28.86,0.57
1606,modern,95106,61559.85,54.41,2.57
1607,romantic,95107,55636.18,27.23,1.64
1608,art gallery,95133,30250.76,37.12,4.29
1609,vintage,95132,60361.41,58.42,4.1
1610,romantic,95101,73016.45,23.22,4.08
1611,romantic,95122,32613.73,36.55,1.53
1612,art gallery,95136,55349.52,9.24,1.37
1613,minimalist,95108,68952.07,77.3,0.76
1614,modern,95107,71252.92,68.94,1.86
1615,romantic,95131,51218.57,49.71,4.1
1616,modern,95134,67315.88,18.58,4.68
1617,vintage,95132,40224.34,37.86,2.33
1618,modern,95120,55210.0,43.19,2.02
1619,modern,95131,44325.8,93.9,4.49
1620,modern,95101,58480.67,16.73,1.59
1621,art gallery,95121,76882.49,66.76,1.56
1622,vintage,95105,77062.55,31.63,3.48
1623,vintage,95148,35859.08,87.42,1.12
1624,romantic,95136,58036.62,20.36,0.8
1625,art gallery,95104,74890.98,32.09,4.41
1626,minimalist,95103,53660.79,22.81,3.47
1627,art gallery,95118,53990.12,45.48,1.11
1628,art gallery,95134,56643.68,11.73,2.44
1629,vintage,95109,32530.35,15.17,4.05
1630,industrial,95120,60897.32,73.82,3.44
1631,minimalist,95140,69436.63,59.8,4.61
1632,art gallery,95133,44067.01,21.77,4.75
1633,vintage,95106,68398.21,89.17,1.73
1634,vintage,95126,75521.11,82.84,2.1
1635,vintage,95120,65626.37,1.98,3.9
1636,vintage,95139,46473.46,46.98,0.44
1637,industrial,95131,68147.02,87.46,3.53
1638,romantic,95107,38665.25,12.95,3.56
1639,minimalist,95128,43807.32,76.69,1.16
1640,minimalist,95124,57635.49,36.93,3.35
1641,modern,95107,32385.72,27.04,2.28
1642,vintage,95139,33469.1,7.3,4.46
1643,minimalist,95132,69940.79,71.86,4.38
1644,vintage,95139,32890.47,51.29,4.4
1645,industrial,95113,37144.88,70.85,0.85
1646,vintage,95126,64426.43,40.77,0.09
1647,art gallery,95103,77527.78,87.89,3.26
1648,modern,95133,78893.52,99.74,3.64
1649,modern,95128,31582.95,64.94,4.57
1650,industrial,95129,65751.88,79.43,0.63
1651,minimalist,95102,35831.96,16.5,0.88
1652,industrial,95124,61374.36,4.62,0.98
1653,art gallery,95120,73046.52,63.18,3.06
1654,romantic,95108,34136.86,82.1,1.59
1655,industrial,95127,56520.77,4.72,1.26
1656,industrial,95112,35305.75,71.01,3.28
1657,industrial,95125,74778.99,23.38,3.9
1658,vintage,95110,62728.64,79.41,0.09
1659,minimalist,95132,51871.39,55.19,4.32
1660,modern,95110,59144.71,30.64,3.86
1661,art gallery,95123,75402.61,24.03,0.43
1662,modern,95111,51430.49,77.31,3.96
1663,art gallery,95139,64933.09,17.16,4.81
1664,romantic,95148,41818.77,26.42,0.21
1665,industrial,95116,70665.95,97.87,3.31
1666,modern,95124,67894.63,26.27,3.72
1667,industrial,95133,77017.86,6.69,2.8
1668,art gallery,95113,49438.92,6.92,0.08
1669,vintage,95116,60835.82,89.5,1.01
1670,art gallery,95133,46672.51,9.41,4.18
1671,industrial,95123,76342.73,44.16,3.24
1672,art gallery,95134,48307.42,4.69,3.21
1673,industrial,95129,41950.13,35.52,2.83
1674,industrial,95121,65943.48,42.71,1.56
1675,industrial,95117,55365.16,42.47,3.54
1676,art gallery,95110,34051.51,9.54,1.17
1677,art gallery,95132,45720.12,91.05,2.24
1678,industrial,95105,68021.19,81.63,2.55
1679,art gallery,95123,34059.57,73.89,3.89
1680,modern,95136,76413.75,43.61,4.83
1681,minimalist,95123,62402.34,29.31,1.67
1682,industrial,95110,44236.31,40.98,1.93
1683,art gallery,95132,34162.0,42.14,1.68
1684,minimalist,95109,79872.75,5.34,1.49
1685,modern,95104,42567.39,6.85,2.12
1686,romantic,95148,35267.51,21.4,2.38
1687,art gallery,95104,70839.44,95.32,4.51
1688,industrial,95109,51928.15,20.5,3.38
1689,art gallery,95117,63807.3,76.69,2.23
1690,romantic,95140,40115.19,92.14,4.71
1691,modern,95113,78448.91,68.03,0.82
1692,vintage,95136,38955.07,52.22,3.77
1693,minimalist,95140,42419.44,75.53,1.06
1694,modern,95139,38913.27,72.14,2.16
1695,minimalist,95113,35489.72,25.12,2.97
1696,industrial,95105,73181.89,94.22,0.57
1697,romantic,95109,44579.1,45.47,0.03
1698,industrial,95127,75695.3,24.42,1.66
1699,romantic,95129,59911.34,83.74,2.17
1700,art gallery,95136,46045.65,36.1,1.26
1701,modern,95109,54156.56,96.13,4.06
1702,vintage,95140,32401.28,88.43,3.21
1703,vintage,95129,72876.68,26.38,4.58
1704,art gallery,95107,64305.94,9.97,2.17
1705,industrial,95122,35898.35,10.28,2.65
1706,industrial,95139,37947.86,50.75,0.8
1707,minimalist,95140,69098.76,15.78,3.36
1708,industrial,95107,61558.77,51.88,0.82
1709,art gallery,95127,40299.74,16.81,4.2
1710,modern,95116,30632.95,43.05,4.29
1711,modern,95131,45455.1,75.56,3.18
1712,industrial,95113,40174.98,79.51,4.64
1713,industrial,95121,58541.76,38.86,2.96
1714,modern,95124,51241.13,75.17,2.75
1715,vintage,95125,58725.52,93.3,4.06
1716,modern,95131,52738.23,30.94,4.54
1717,art gallery,95133,35653.59,8.27,0.31
1718,industrial,95106,30311.76,32.19,0.65
1719,minimalist,95135,60297.0,80.61,2.06
1720,romantic,95123,55611.74,27.99,0.17
1721,minimalist,95120,38036.33,64.8,1.0
1722,art gallery,95111,49136.66,89.02,2.29
1723,art gallery,95108,53837.39,94.49,1.44
1724,modern,95132,36105.66,21.29,1.76
1725,minimalist,95111,60543.32,88.61,0.52
1726,minimalist,95119,61176.41,48.48,4.18
1727,romantic,95125,30940.12,41.05,1.62
1728,minimalist,95105,41644.0,51.36,2.58
1729,vintage,95129,62068.75,15.55,1.71
1730,romantic,95122,79529.2,82.58,2.2
1731,art gallery,95109,59948.34,34.79,3.26
1732,vintage,95103,52404.86,98.41,3.4
1733,industrial,95102,45391.82,82.52,4.82
1734,vintage,95102,47586.13,12.77,4.66
1735,romantic,95106,42326.85,67.24,4.74
1736,industrial,95136,53605.11,48.82,3.91
1737,minimalist,95103,34510.68,39.26,2.55
1738,vintage,95107,75987.64,63.28,1.69
1739,romantic,95129,32108.38,23.51,3.89
1740,art gallery,95140,48246.8,22.41,1.69
1741,industrial,95110,73971.41,48.56,0.06
1742,modern,95126,51194.74,51.0,2.16
1743,minimalist,95106,43849.46,37.21,1.47
1744,industrial,95136,51450.11,33.79,1.37
1745,romantic,95134,65239.63,81.9,1.8
1746,art gallery,95118,49224.89,57.11,0.56
1747,vintage,95110,33442.96,7.05,0.12
1748,modern,95140,77666.03,66.5,3.79
1749,modern,95112,68491.15,15.56,0.06
1750,vintage,95112,59427.26,79.66,0.77
1751,modern,95101,64475.22,82.1,4.7
1752,vintage,95104,51764.71,37.99,3.33
1753,romantic,95138,52361.1,30.02,3.47
1754,vintage,95138,37147.1,42.09,2.91
1755,minimalist,95113,75193.68,47.13,1.09
1756,industrial,95103,70299.66,77.46,1.24
1757,industrial,95129,48206.87,90.67,1.23
1758,modern,95117,53583.12,70.32,4.84
1759,art gallery,95132,65495.98,25.17,3.29
1760,romantic,95109,69951.31,37.6,3.65
1761,minimalist,95113,45296.18,60.49,3.64
1762,minimalist,95131,53968.29,12.34,3.45
1763,art gallery,95108,38043.38,51.74,3.82
1764,vintage,95101,68173.48,15.81,2.04
1765,vintage,95138,63282.41,49.22,1.01
1766,art gallery,95129,65321.09,90.0,0.76
1767,vintage,95127,73319.64,67.16,1.13
1768,art gallery,95119,66890.36,43.47,3.24
1769,art gallery,95116,71958.48,35.36,1.52
1770,minimalist,95138,40397.38,26.91,1.08
1771,modern,95122,72936.66,50.81,1.37
1772,minimalist,95134,38457.14,25.35,0.3
1773,industrial,95109,38516.28,92.86,1.13
1774,minimalist,95138,30537.88,4.31,2.39
1775,romantic,95129,68154.53,10.76,2.9
1776,vintage,95138,65754.36,9.64,3.84
1777,industrial,95134,79429.37,48.91,3.3
1778,vintage,95120,77362.67,80.67,4.39
1779,vintage,95122,44400.12,99.75,2.37
1780,minimalist,95124,65016.56,14.47,4.34
1781,industrial,95124,53387.45,51.86,1.53
1782,minimalist,95121,42801.24,53.44,1.48
1783,vintage,95139,69937.09,78.53,0.05
1784,minimalist,95120,60106.75,63.43,3.29
1785,modern,95140,52561.39,11.06,0.65
1786,industrial,95119,47596.7,24.44,0.61
1787,vintage,95127,69380.61,38.24,3.72
1788,industrial,95104,77123.16,59.28,3.92
1789,modern,95132,58504.62,79.46,0.62
1790,art gallery,95103,61467.66,32.73,1.43
1791,romantic,95139,41248.52,17.9,2.0
1792,romantic,95139,61261.1,98.37,1.13
1793,romantic,95113,69749.59,28.97,2.39
1794,romantic,95124,58113.18,39.07,0.64
1795,romantic,95120,30558.5,31.28,1.35
1796,industrial,95113,78823.67,2.69,1.67
1797,art gallery,95133,64667.64,15.61,3.76
1798,industrial,95119,63495.89,82.13,3.26
1799,industrial,95135,74987.28,5.91,3.36
1800,romantic,95101,78060.36,32.45,2.68
1801,vintage,95109,45013.83,97.74,4.53
1802,romantic,95131,50803.63,44.62,3.64
1803,art gallery,95129,64737.52,16.39,3.96
1804,modern,95122,64673.56,79.02,2.88
1805,industrial,95121,30443.15,91.56,3.91
1806,art gallery,95134,44328.21,43.62,0.19
1807,modern,95124,42264.2,60.97,2.15
1808,vintage,95135,61583.66,64.86,1.69
1809,minimalist,95120,56497.87,81.89,2.61
1810,romantic,95127,46336.85,52.88,0.16
1811,modern,95123,65381.4,24.87,2.6
1812,romantic,95116,30858.77,97.33,3.53
1813,romantic,95112,79700.72,74.25,1.37
1814,industrial,95109,43678.27,29.33,0.48
1815,art gallery,95117,75115.9,73.16,1.6
1816,minimalist,95124,45131.46,70.39,1.4
1817,art gallery,95116,61311.45,10.71,0.56
1818,vintage,95132,60045.93,90.96,4.82
1819,industrial,95119,43030.19,19.97,1.7
1820,romantic,95138,73142.29,18.17,4.21
1821,romantic,95107,62399.31,78.19,0.06
1822,art gallery,95140,30443.55,29.43,2.19
1823,modern,95120,34341.21,58.3,2.03
1824,art gallery,95104,79713.09,53.0,0.33
1825,minimalist,95140,78150.54,56.24,3.67
1826,modern,95126,40716.1,69.44,3.23
1827,art gallery,95108,74567.54,81.59,1.78
1828,vintage,95117,45068.05,60.41,3.39
1829,vintage,95103,76465.4,39.01,4.78
1830,minimalist,95134,59557.6,1.06,1.37
1831,romantic,95104,73402.63,54.6,1.62
1832,modern,95105,44518.93,32.64,2.01
1833,vintage,95108,41037.71,32.06,2.37
1834,minimalist,95126,45986.8,51.84,3.94
1835,romantic,95109,46455.89,85.71,4.29
1836,art gallery,95113,51525.16,63.46,1.82
1837,romantic,95105,39313.33,96.85,0.65
1838,vintage,95135,32602.22,7.11,1.72
1839,vintage,95148,52650.99,23.04,2.82
1840,art gallery,95118,50009.34,13.3,3.24
1841,industrial,95108,72932.46,50.86,4.0
1842,industrial,95126,65070.52,30.4,4.43
1843,modern,95122,59066.07,23.18,4.72
1844,vintage,95112,56638.04,25.12,2.18
1845,romantic,95118,30397.06,1.05,0.69
1846,romantic,95128,45184.43,10.9,3.52
1847,romantic,95123,43475.22,89.15,0.11
1848,romantic,95124,64941.82,26.06,4.5
1849,industrial,95119,76344.51,64.77,1.96
